Geography,Timeframe,Week_Ending,Type,ASP,4046_Units,4225_Units,4770_Units,TotalBagged_Units
Albany,Weekly,1/13/2020,Conventional,1.22760888,4019.89,96152.64,205.88,16359.88
Albany,Weekly,1/13/2020,Organic,1.814664013,185.96,175.8,0,1399.22
Atlanta,Weekly,1/13/2020,Conventional,0.924120831,551153.18,94886.96,2526.53,107631.15
Atlanta,Weekly,1/13/2020,Organic,1.422904674,11106.05,10932.16,0,7524.48
Baltimore/Washington,Weekly,1/13/2020,Conventional,1.337479669,95768.26,450660.7,4451.67,276413.89
Baltimore/Washington,Weekly,1/13/2020,Organic,1.52607412,591.49,6223.36,16.05,42314.91
Birmingham/Montgomery,Weekly,1/13/2020,Conventional,0.905432908,253638.49,14608.57,1845.83,57280.94
Birmingham/Montgomery,Weekly,1/13/2020,Organic,1.333146695,604.86,897.28,0,6467.85
Boise,Weekly,1/13/2020,Conventional,1.077148612,64125.41,35761.22,11233.2,15494.81
Boise,Weekly,1/13/2020,Organic,1.682162085,575.79,1934.87,1.21,1145.55
Boston,Weekly,1/13/2020,Conventional,1.386582955,32814.04,414621.48,1305.03,127969.48
Boston,Weekly,1/13/2020,Organic,1.571529,168.55,2716.57,0,23321.76
Buffalo/Rochester,Weekly,1/13/2020,Conventional,1.052076185,9558.33,67283.34,325.74,114092.36
Buffalo/Rochester,Weekly,1/13/2020,Organic,1.309457071,525.34,151.73,0,11617.84
California,Weekly,1/13/2020,Conventional,1.17677343,2562709.34,1873151.37,632035.53,777695.41
California,Weekly,1/13/2020,Organic,1.876449464,101137.62,69623.63,27.86,69236.75
Charlotte,Weekly,1/13/2020,Conventional,1.164419347,137448.33,64122.78,2470.27,94491.46
Charlotte,Weekly,1/13/2020,Organic,1.67139806,2306.05,4362.35,61.58,6333.68
Chicago,Weekly,1/13/2020,Conventional,1.468631524,147863.45,263663.62,116462,115076.37
Chicago,Weekly,1/13/2020,Organic,1.643082625,4454.77,71281.95,0,9315.96
Cincinnati/Dayton,Weekly,1/13/2020,Conventional,0.820248267,245063.72,47948.56,29431.86,26086.72
Cincinnati/Dayton,Weekly,1/13/2020,Organic,1.307102751,7467.77,8932.86,0,2123.57
Columbus,Weekly,1/13/2020,Conventional,0.778079074,212810.09,27660.65,6161.54,27953.36
Columbus,Weekly,1/13/2020,Organic,1.668057299,6017.36,3514.01,0,2277.79
Dallas/Ft. Worth,Weekly,1/13/2020,Conventional,0.724451592,906581.02,430312.34,9683.35,250704.88
Dallas/Ft. Worth,Weekly,1/13/2020,Organic,1.418512709,9266.42,3164.73,316.79,19637.66
